node1	node2	sample
ZetaOtu14	ZetaOtu8	S1
ZetaOtu14	ZetaOtu6	S1
ZetaOtu14	ZetaOtu2	S1
ZetaOtu14	ZetaOtu1	S1
ZetaOtu8	ZetaOtu6	S1
ZetaOtu8	ZetaOtu2	S1
ZetaOtu8	ZetaOtu1	S1
ZetaOtu6	ZetaOtu2	S1
ZetaOtu6	ZetaOtu1	S1
ZetaOtu2	ZetaOtu1	S1
ZetaOtu14	ZetaOtu6	S2
ZetaOtu14	ZetaOtu2	S2
ZetaOtu14	ZetaOtu1	S2
ZetaOtu6	ZetaOtu2	S2
ZetaOtu6	ZetaOtu1	S2
ZetaOtu2	ZetaOtu1	S2
ZetaOtu14	ZetaOtu6	S3
ZetaOtu14	ZetaOtu2	S3
ZetaOtu14	ZetaOtu1	S3
ZetaOtu14	ZetaOtu7	S3
ZetaOtu6	ZetaOtu2	S3
ZetaOtu6	ZetaOtu1	S3
ZetaOtu6	ZetaOtu7	S3
ZetaOtu2	ZetaOtu1	S3
ZetaOtu2	ZetaOtu7	S3
ZetaOtu1	ZetaOtu7	S3
ZetaOtu2	ZetaOtu4	S4
ZetaOtu2	ZetaOtu10	S4
ZetaOtu4	ZetaOtu10	S4
ZetaOtu14	ZetaOtu1	S5
ZetaOtu14	ZetaOtu4	S5
ZetaOtu14	ZetaOtu10	S5
ZetaOtu14	ZetaOtu19	S5
ZetaOtu14	ZetaOtu3	S5
ZetaOtu14	NewZetaOtu1	S5
ZetaOtu14	NewZetaOtu2	S5
ZetaOtu14	NewZetaOtu3	S5
ZetaOtu14	NewZetaOtu4	S5
ZetaOtu14	NewZetaOtu5	S5
ZetaOtu14	NewZetaOtu6	S5
ZetaOtu14	NewZetaOtu7	S5
ZetaOtu14	NewZetaOtu8	S5
ZetaOtu1	ZetaOtu4	S5
ZetaOtu1	ZetaOtu10	S5
ZetaOtu1	ZetaOtu19	S5
ZetaOtu1	ZetaOtu3	S5
ZetaOtu1	NewZetaOtu1	S5
ZetaOtu1	NewZetaOtu2	S5
ZetaOtu1	NewZetaOtu3	S5
ZetaOtu1	NewZetaOtu4	S5
ZetaOtu1	NewZetaOtu5	S5
ZetaOtu1	NewZetaOtu6	S5
ZetaOtu1	NewZetaOtu7	S5
ZetaOtu1	NewZetaOtu8	S5
ZetaOtu4	ZetaOtu10	S5
ZetaOtu4	ZetaOtu19	S5
ZetaOtu4	ZetaOtu3	S5
ZetaOtu4	NewZetaOtu1	S5
ZetaOtu4	NewZetaOtu2	S5
ZetaOtu4	NewZetaOtu3	S5
ZetaOtu4	NewZetaOtu4	S5
ZetaOtu4	NewZetaOtu5	S5
ZetaOtu4	NewZetaOtu6	S5
ZetaOtu4	NewZetaOtu7	S5
ZetaOtu4	NewZetaOtu8	S5
ZetaOtu10	ZetaOtu19	S5
ZetaOtu10	ZetaOtu3	S5
ZetaOtu10	NewZetaOtu1	S5
ZetaOtu10	NewZetaOtu2	S5
ZetaOtu10	NewZetaOtu3	S5
ZetaOtu10	NewZetaOtu4	S5
ZetaOtu10	NewZetaOtu5	S5
ZetaOtu10	NewZetaOtu6	S5
ZetaOtu10	NewZetaOtu7	S5
ZetaOtu10	NewZetaOtu8	S5
ZetaOtu19	ZetaOtu3	S5
ZetaOtu19	NewZetaOtu1	S5
ZetaOtu19	NewZetaOtu2	S5
ZetaOtu19	NewZetaOtu3	S5
ZetaOtu19	NewZetaOtu4	S5
ZetaOtu19	NewZetaOtu5	S5
ZetaOtu19	NewZetaOtu6	S5
ZetaOtu19	NewZetaOtu7	S5
ZetaOtu19	NewZetaOtu8	S5
ZetaOtu3	NewZetaOtu1	S5
ZetaOtu3	NewZetaOtu2	S5
ZetaOtu3	NewZetaOtu3	S5
ZetaOtu3	NewZetaOtu4	S5
ZetaOtu3	NewZetaOtu5	S5
ZetaOtu3	NewZetaOtu6	S5
ZetaOtu3	NewZetaOtu7	S5
ZetaOtu3	NewZetaOtu8	S5
NewZetaOtu1	NewZetaOtu2	S5
NewZetaOtu1	NewZetaOtu3	S5
NewZetaOtu1	NewZetaOtu4	S5
NewZetaOtu1	NewZetaOtu5	S5
NewZetaOtu1	NewZetaOtu6	S5
NewZetaOtu1	NewZetaOtu7	S5
NewZetaOtu1	NewZetaOtu8	S5
NewZetaOtu2	NewZetaOtu3	S5
NewZetaOtu2	NewZetaOtu4	S5
NewZetaOtu2	NewZetaOtu5	S5
NewZetaOtu2	NewZetaOtu6	S5
NewZetaOtu2	NewZetaOtu7	S5
NewZetaOtu2	NewZetaOtu8	S5
NewZetaOtu3	NewZetaOtu4	S5
NewZetaOtu3	NewZetaOtu5	S5
NewZetaOtu3	NewZetaOtu6	S5
NewZetaOtu3	NewZetaOtu7	S5
NewZetaOtu3	NewZetaOtu8	S5
NewZetaOtu4	NewZetaOtu5	S5
NewZetaOtu4	NewZetaOtu6	S5
NewZetaOtu4	NewZetaOtu7	S5
NewZetaOtu4	NewZetaOtu8	S5
NewZetaOtu5	NewZetaOtu6	S5
NewZetaOtu5	NewZetaOtu7	S5
NewZetaOtu5	NewZetaOtu8	S5
NewZetaOtu6	NewZetaOtu7	S5
NewZetaOtu6	NewZetaOtu8	S5
NewZetaOtu7	NewZetaOtu8	S5
ZetaOtu2	ZetaOtu4	S6
ZetaOtu2	ZetaOtu10	S6
ZetaOtu2	ZetaOtu13	S6
ZetaOtu4	ZetaOtu10	S6
ZetaOtu4	ZetaOtu13	S6
ZetaOtu10	ZetaOtu13	S6
