node1	node2	sample
OP3Div2	OP3Div3	S1
OP3Div2	OP3Div5	S1
OP3Div2	OP3Div6	S1
OP3Div2	OP3Div4	S1
OP3Div2	NewZetaOtu1	S1
OP3Div2	NewZetaOtu2	S1
OP3Div2	NewZetaOtu3	S1
OP3Div2	NewZetaOtu4	S1
OP3Div2	NewZetaOtu5	S1
OP3Div2	NewZetaOtu6	S1
OP3Div2	NewZetaOtu7	S1
OP3Div2	NewZetaOtu8	S1
OP3Div2	NewZetaOtu9	S1
OP3Div2	NewZetaOtu10	S1
OP3Div2	NewZetaOtu11	S1
OP3Div2	NewZetaOtu12	S1
OP3Div2	NewZetaOtu13	S1
OP3Div2	NewZetaOtu14	S1
OP3Div2	NewZetaOtu15	S1
OP3Div2	NewZetaOtu16	S1
OP3Div2	NewZetaOtu17	S1
OP3Div2	NewZetaOtu18	S1
OP3Div2	NewZetaOtu19	S1
OP3Div2	NewZetaOtu20	S1
OP3Div2	NewZetaOtu21	S1
OP3Div2	NewZetaOtu22	S1
OP3Div2	NewZetaOtu23	S1
OP3Div2	NewZetaOtu24	S1
OP3Div2	NewZetaOtu25	S1
OP3Div2	NewZetaOtu26	S1
OP3Div2	NewZetaOtu27	S1
OP3Div2	NewZetaOtu28	S1
OP3Div2	NewZetaOtu29	S1
OP3Div2	NewZetaOtu30	S1
OP3Div2	NewZetaOtu31	S1
OP3Div2	NewZetaOtu32	S1
OP3Div3	OP3Div5	S1
OP3Div3	OP3Div6	S1
OP3Div3	OP3Div4	S1
OP3Div3	NewZetaOtu1	S1
OP3Div3	NewZetaOtu2	S1
OP3Div3	NewZetaOtu3	S1
OP3Div3	NewZetaOtu4	S1
OP3Div3	NewZetaOtu5	S1
OP3Div3	NewZetaOtu6	S1
OP3Div3	NewZetaOtu7	S1
OP3Div3	NewZetaOtu8	S1
OP3Div3	NewZetaOtu9	S1
OP3Div3	NewZetaOtu10	S1
OP3Div3	NewZetaOtu11	S1
OP3Div3	NewZetaOtu12	S1
OP3Div3	NewZetaOtu13	S1
OP3Div3	NewZetaOtu14	S1
OP3Div3	NewZetaOtu15	S1
OP3Div3	NewZetaOtu16	S1
OP3Div3	NewZetaOtu17	S1
OP3Div3	NewZetaOtu18	S1
OP3Div3	NewZetaOtu19	S1
OP3Div3	NewZetaOtu20	S1
OP3Div3	NewZetaOtu21	S1
OP3Div3	NewZetaOtu22	S1
OP3Div3	NewZetaOtu23	S1
OP3Div3	NewZetaOtu24	S1
OP3Div3	NewZetaOtu25	S1
OP3Div3	NewZetaOtu26	S1
OP3Div3	NewZetaOtu27	S1
OP3Div3	NewZetaOtu28	S1
OP3Div3	NewZetaOtu29	S1
OP3Div3	NewZetaOtu30	S1
OP3Div3	NewZetaOtu31	S1
OP3Div3	NewZetaOtu32	S1
OP3Div5	OP3Div6	S1
OP3Div5	OP3Div4	S1
