#OTU ID	S1
OP3Div2	904
OP3Div3	458
OP3Div4	155
OP3Div1	466
OP3Div5	329
OP3Div6	1
NewZetaOtu1	147
NewZetaOtu2	112
NewZetaOtu3	58
NewZetaOtu4	43
NewZetaOtu5	21
NewZetaOtu6	16
NewZetaOtu7	16
NewZetaOtu8	16
NewZetaOtu9	14
NewZetaOtu10	14
NewZetaOtu11	13
NewZetaOtu12	12
NewZetaOtu13	8
NewZetaOtu14	8
NewZetaOtu15	7
NewZetaOtu16	7
NewZetaOtu17	7
NewZetaOtu18	5
NewZetaOtu19	5
NewZetaOtu20	5
NewZetaOtu21	5
NewZetaOtu22	4
NewZetaOtu23	4
NewZetaOtu24	4
NewZetaOtu25	4
NewZetaOtu26	4
NewZetaOtu27	3
NewZetaOtu28	3
NewZetaOtu29	3
NewZetaOtu30	3
NewZetaOtu31	3
NewZetaOtu32	3
NewZetaOtu33	3
NewZetaOtu34	3
NewZetaOtu35	3
NewZetaOtu36	2
NewZetaOtu37	2
NewZetaOtu38	2
NewZetaOtu39	2
NewZetaOtu40	2
NewZetaOtu41	2
NewZetaOtu42	2
NewZetaOtu43	2
NewZetaOtu44	2
NewZetaOtu45	1
NewZetaOtu46	1
NewZetaOtu47	1
NewZetaOtu48	1
NewZetaOtu49	1
NewZetaOtu50	1
NewZetaOtu51	1
NewZetaOtu52	1
NewZetaOtu53	1
NewZetaOtu54	1
NewZetaOtu55	1
NewZetaOtu56	1
NewZetaOtu57	1
NewZetaOtu58	1
NewZetaOtu59	1
NewZetaOtu60	1
NewZetaOtu61	1
NewZetaOtu62	1
NewZetaOtu63	1
NewZetaOtu64	1
NewZetaOtu65	1
NewZetaOtu66	1
NewZetaOtu67	1
NewZetaOtu68	1
NewZetaOtu69	1
NewZetaOtu70	1
NewZetaOtu71	1
NewZetaOtu72	1
NewZetaOtu73	1
NewZetaOtu74	1
NewZetaOtu75	1
NewZetaOtu76	1
NewZetaOtu77	1
NewZetaOtu78	1
NewZetaOtu79	1
NewZetaOtu80	1
NewZetaOtu81	1
NewZetaOtu82	1
NewZetaOtu83	1
NewZetaOtu84	1
NewZetaOtu85	1
NewZetaOtu86	1
NewZetaOtu87	1
