#OTU ID	S1
OP3Div2	774
OP3Div3	371
OP3Div5	95
OP3Div6	1
OP3Div4	20
NewZetaOtu1	29
NewZetaOtu2	26
NewZetaOtu3	10
NewZetaOtu4	4
NewZetaOtu5	3
NewZetaOtu6	3
NewZetaOtu7	3
NewZetaOtu8	2
NewZetaOtu9	2
NewZetaOtu10	2
NewZetaOtu11	2
NewZetaOtu12	2
NewZetaOtu13	2
NewZetaOtu14	2
NewZetaOtu15	2
NewZetaOtu16	2
NewZetaOtu17	2
NewZetaOtu18	1
NewZetaOtu19	1
NewZetaOtu20	1
NewZetaOtu21	1
NewZetaOtu22	1
NewZetaOtu23	1
NewZetaOtu24	1
NewZetaOtu25	1
NewZetaOtu26	1
NewZetaOtu27	1
NewZetaOtu28	1
NewZetaOtu29	1
NewZetaOtu30	1
NewZetaOtu31	1
NewZetaOtu32	1
