node1	node2	sample
OP3Div2	OP3Div3	S1
OP3Div2	OP3Div4	S1
OP3Div2	OP3Div1	S1
OP3Div2	OP3Div5	S1
OP3Div2	OP3Div6	S1
OP3Div2	NewZetaOtu1	S1
OP3Div2	NewZetaOtu2	S1
OP3Div2	NewZetaOtu3	S1
OP3Div2	NewZetaOtu4	S1
OP3Div2	NewZetaOtu5	S1
OP3Div2	NewZetaOtu6	S1
OP3Div2	NewZetaOtu7	S1
OP3Div2	NewZetaOtu8	S1
OP3Div2	NewZetaOtu9	S1
OP3Div2	NewZetaOtu10	S1
OP3Div2	NewZetaOtu11	S1
OP3Div2	NewZetaOtu12	S1
OP3Div2	NewZetaOtu13	S1
OP3Div2	NewZetaOtu14	S1
OP3Div2	NewZetaOtu15	S1
OP3Div2	NewZetaOtu16	S1
OP3Div2	NewZetaOtu17	S1
OP3Div2	NewZetaOtu18	S1
OP3Div2	NewZetaOtu19	S1
OP3Div2	NewZetaOtu20	S1
OP3Div2	NewZetaOtu21	S1
OP3Div2	NewZetaOtu22	S1
OP3Div2	NewZetaOtu23	S1
OP3Div2	NewZetaOtu24	S1
OP3Div2	NewZetaOtu25	S1
OP3Div2	NewZetaOtu26	S1
OP3Div2	NewZetaOtu27	S1
OP3Div2	NewZetaOtu28	S1
OP3Div2	NewZetaOtu29	S1
OP3Div2	NewZetaOtu30	S1
OP3Div2	NewZetaOtu31	S1
OP3Div2	NewZetaOtu32	S1
OP3Div2	NewZetaOtu33	S1
OP3Div2	NewZetaOtu34	S1
OP3Div2	NewZetaOtu35	S1
OP3Div2	NewZetaOtu36	S1
OP3Div2	NewZetaOtu37	S1
OP3Div2	NewZetaOtu38	S1
OP3Div2	NewZetaOtu39	S1
OP3Div2	NewZetaOtu40	S1
OP3Div2	NewZetaOtu41	S1
OP3Div2	NewZetaOtu42	S1
OP3Div2	NewZetaOtu43	S1
OP3Div2	NewZetaOtu44	S1
OP3Div2	NewZetaOtu45	S1
OP3Div2	NewZetaOtu46	S1
OP3Div2	NewZetaOtu47	S1
OP3Div2	NewZetaOtu48	S1
OP3Div2	NewZetaOtu49	S1
OP3Div2	NewZetaOtu50	S1
OP3Div2	NewZetaOtu51	S1
OP3Div2	NewZetaOtu52	S1
OP3Div2	NewZetaOtu53	S1
OP3Div2	NewZetaOtu54	S1
OP3Div2	NewZetaOtu55	S1
OP3Div2	NewZetaOtu56	S1
OP3Div2	NewZetaOtu57	S1
OP3Div2	NewZetaOtu58	S1
OP3Div2	NewZetaOtu59	S1
OP3Div2	NewZetaOtu60	S1
OP3Div2	NewZetaOtu61	S1
OP3Div2	NewZetaOtu62	S1
OP3Div2	NewZetaOtu63	S1
OP3Div2	NewZetaOtu64	S1
OP3Div2	NewZetaOtu65	S1
OP3Div2	NewZetaOtu66	S1
OP3Div2	NewZetaOtu67	S1
OP3Div2	NewZetaOtu68	S1
OP3Div2	NewZetaOtu69	S1
OP3Div2	NewZetaOtu70	S1
OP3Div2	NewZetaOtu71	S1
OP3Div2	NewZetaOtu72	S1
OP3Div2	NewZetaOtu73	S1
OP3Div2	NewZetaOtu74	S1
OP3Div2	NewZetaOtu75	S1
OP3Div2	NewZetaOtu76	S1
OP3Div2	NewZetaOtu77	S1
OP3Div2	NewZetaOtu78	S1
OP3Div2	NewZetaOtu79	S1
OP3Div2	NewZetaOtu80	S1
OP3Div2	NewZetaOtu81	S1
OP3Div2	NewZetaOtu82	S1
OP3Div2	NewZetaOtu83	S1
OP3Div2	NewZetaOtu84	S1
OP3Div2	NewZetaOtu85	S1
OP3Div2	NewZetaOtu86	S1
OP3Div3	OP3Div4	S1
OP3Div3	OP3Div1	S1
OP3Div3	OP3Div5	S1
OP3Div3	OP3Div6	S1
OP3Div3	NewZetaOtu1	S1
OP3Div3	NewZetaOtu2	S1
OP3Div3	NewZetaOtu3	S1
OP3Div3	NewZetaOtu4	S1
OP3Div3	NewZetaOtu5	S1
OP3Div3	NewZetaOtu6	S1
OP3Div3	NewZetaOtu7	S1
OP3Div3	NewZetaOtu8	S1
OP3Div3	NewZetaOtu9	S1
OP3Div3	NewZetaOtu10	S1
OP3Div3	NewZetaOtu11	S1
OP3Div3	NewZetaOtu12	S1
OP3Div3	NewZetaOtu13	S1
OP3Div3	NewZetaOtu14	S1
OP3Div3	NewZetaOtu15	S1
OP3Div3	NewZetaOtu16	S1
OP3Div3	NewZetaOtu17	S1
OP3Div3	NewZetaOtu18	S1
OP3Div3	NewZetaOtu19	S1
OP3Div3	NewZetaOtu20	S1
OP3Div3	NewZetaOtu21	S1
OP3Div3	NewZetaOtu22	S1
OP3Div3	NewZetaOtu23	S1
OP3Div3	NewZetaOtu24	S1
OP3Div3	NewZetaOtu25	S1
OP3Div3	NewZetaOtu26	S1
OP3Div3	NewZetaOtu27	S1
OP3Div3	NewZetaOtu28	S1
OP3Div3	NewZetaOtu29	S1
OP3Div3	NewZetaOtu30	S1
OP3Div3	NewZetaOtu31	S1
OP3Div3	NewZetaOtu32	S1
OP3Div3	NewZetaOtu33	S1
OP3Div3	NewZetaOtu34	S1
OP3Div3	NewZetaOtu35	S1
OP3Div3	NewZetaOtu36	S1
OP3Div3	NewZetaOtu37	S1
OP3Div3	NewZetaOtu38	S1
OP3Div3	NewZetaOtu39	S1
OP3Div3	NewZetaOtu40	S1
OP3Div3	NewZetaOtu41	S1
OP3Div3	NewZetaOtu42	S1
OP3Div3	NewZetaOtu43	S1
OP3Div3	NewZetaOtu44	S1
OP3Div3	NewZetaOtu45	S1
OP3Div3	NewZetaOtu46	S1
OP3Div3	NewZetaOtu47	S1
OP3Div3	NewZetaOtu48	S1
OP3Div3	NewZetaOtu49	S1
OP3Div3	NewZetaOtu50	S1
OP3Div3	NewZetaOtu51	S1
OP3Div3	NewZetaOtu52	S1
OP3Div3	NewZetaOtu53	S1
OP3Div3	NewZetaOtu54	S1
OP3Div3	NewZetaOtu55	S1
OP3Div3	NewZetaOtu56	S1
OP3Div3	NewZetaOtu57	S1
OP3Div3	NewZetaOtu58	S1
OP3Div3	NewZetaOtu59	S1
OP3Div3	NewZetaOtu60	S1
OP3Div3	NewZetaOtu61	S1
OP3Div3	NewZetaOtu62	S1
OP3Div3	NewZetaOtu63	S1
OP3Div3	NewZetaOtu64	S1
OP3Div3	NewZetaOtu65	S1
OP3Div3	NewZetaOtu66	S1
OP3Div3	NewZetaOtu67	S1
OP3Div3	NewZetaOtu68	S1
OP3Div3	NewZetaOtu69	S1
OP3Div3	NewZetaOtu70	S1
OP3Div3	NewZetaOtu71	S1
OP3Div3	NewZetaOtu72	S1
OP3Div3	NewZetaOtu73	S1
OP3Div3	NewZetaOtu74	S1
OP3Div3	NewZetaOtu75	S1
OP3Div3	NewZetaOtu76	S1
OP3Div3	NewZetaOtu77	S1
OP3Div3	NewZetaOtu78	S1
OP3Div3	NewZetaOtu79	S1
OP3Div3	NewZetaOtu80	S1
OP3Div3	NewZetaOtu81	S1
OP3Div3	NewZetaOtu82	S1
OP3Div3	NewZetaOtu83	S1
OP3Div3	NewZetaOtu84	S1
OP3Div3	NewZetaOtu85	S1
OP3Div3	NewZetaOtu86	S1
OP3Div4	OP3Div1	S1
OP3Div4	OP3Div5	S1
OP3Div4	OP3Div6	S1
OP3Div4	NewZetaOtu1	S1
OP3Div4	NewZetaOtu2	S1
OP3Div4	NewZetaOtu3	S1
OP3Div4	NewZetaOtu4	S1
OP3Div4	NewZetaOtu5	S1
OP3Div4	NewZetaOtu6	S1
OP3Div4	NewZetaOtu7	S1
OP3Div4	NewZetaOtu8	S1
OP3Div4	NewZetaOtu9	S1
OP3Div4	NewZetaOtu10	S1
OP3Div4	NewZetaOtu11	S1
OP3Div4	NewZetaOtu12	S1
OP3Div4	NewZetaOtu13	S1
OP3Div4	NewZetaOtu14	S1
OP3Div4	NewZetaOtu15	S1
OP3Div4	NewZetaOtu16	S1
OP3Div4	NewZetaOtu17	S1
OP3Div4	NewZetaOtu18	S1
OP3Div4	NewZetaOtu19	S1
OP3Div4	NewZetaOtu20	S1
OP3Div4	NewZetaOtu21	S1
OP3Div4	NewZetaOtu22	S1
OP3Div4	NewZetaOtu23	S1
OP3Div4	NewZetaOtu24	S1
OP3Div4	NewZetaOtu25	S1
OP3Div4	NewZetaOtu26	S1
OP3Div4	NewZetaOtu27	S1
OP3Div4	NewZetaOtu28	S1
OP3Div4	NewZetaOtu29	S1
OP3Div4	NewZetaOtu30	S1
OP3Div4	NewZetaOtu31	S1
OP3Div4	NewZetaOtu32	S1
OP3Div4	NewZetaOtu33	S1
OP3Div4	NewZetaOtu34	S1
OP3Div4	NewZetaOtu35	S1
OP3Div4	NewZetaOtu36	S1
