#acc	otu	clone	num
ZH_GOLD_v3___2525846989	ZetaOtu1	SCGC AB-137-M18	1
ZH_GOLD_v3___2525847248	ZetaOtu1	SCGC AB-602-L11	1
ZH_GOLD_v3___2525840915	ZetaOtu14	SCGC AB-133-D10	1
ZH_GOLD_v3___2525848513	ZetaOtu2	SCGC AB-133-M17	1
ZH_GOLD_v3___2525850073	ZetaOtu2	SCGC AB-137-G16	1
ZH_GOLD_v3___2525852690	ZetaOtu6	SCGC AB-137-C09B	1
ZH_GOLD_v3___2525847772	ZetaOtu2	SCGC AB-604-P22	1
ZH_GOLD_v3___AB284830.1.1460	ZetaOtu15	Papm3 clone BL17	1
ZH_GOLD_v3___AB284831.1.1460	ZetaOtu15	Papm3 clone BL23	1
ZH_GOLD_v3___AB284832.1.1459	ZetaOtu9	Papm3 clone BL26	1
ZH_GOLD_v3___AB284833.1.1459	ZetaOtu9	Papm3 clone BL54	1
ZH_GOLD_v3___AB284834.1.1460	ZetaOtu15	Papm3 clone BL58	1
ZH_GOLD_v3___AB722105.1.1390	ZetaOtu4	SMT Pika clone BMS9AB48	4
ZH_GOLD_v3___2529270692	ZetaOtu10	SCGC AC-673-B17	1
ZH_GOLD_v3___2529062734	ZetaOtu4	SCGC AC-673-C02	1
ZH_GOLD_v3___2529066166	ZetaOtu10	SCGC AC-673-N02	1
ZH_GOLD_v3___2529066422	ZetaOtu4	SCGC AC-675-C07	1
ZH_GOLD_v3___AJ309526.1.1396	ZetaOtu14	Red Sea bacterium ZH_GOLD_v3___KT-2K34	1
ZH_GOLD_v3___AMFO01000592.3679.5195	ZetaOtu7	Loh SPL-7 ZH_GOLD_v3___metagenome contig_592	1
ZH_GOLD_v3___AMFO01001645.154.1685	ZetaOtu35	Loh SPL-4 ZH_GOLD_v3___metagenome contig_1645	1
ZH_GOLD_v3___Aquifexpyr	OG	OG	OG
ZH_GOLD_v3___AQUP01000092.21573.23091	ZetaOtu4	SCGC AB-604-O16	1
ZH_GOLD_v3___ARAK01000206.45.1560	ZetaOtu6	SCGC AB-137-C09	1
ZH_GOLD_v3___ARAL01000103.3165.4681	ZetaOtu14	SCGC AB-137-J06	1
ZH_GOLD_v3___ARAO01000236.10.1436	ZetaOtu2	SCGC AB-137-I08	1
ZH_GOLD_v3___AY197408.1.1483	ZetaOtu24	Guaymas Core B clone ZH_GOLD_v3___B03R022	1
ZH_GOLD_v3___Desulfobul	OG	OG	OG
ZH_GOLD_v3___Desurellaa	OG	OG	OG
ZH_GOLD_v3___Desurellap	OG	OG	OG
ZH_GOLD_v3___DQ832637.1.1455	ZetaOtu3	Cleft Mound pushcore ZH_GOLD_v3___clone CMB-25	3
ZH_GOLD_v3___DQ832638.1.1458	ZetaOtu2	Cleft Mound pushcore ZH_GOLD_v3___clone CMB-2	2
