#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	Hit	PID	QCov
AB015559_1_1530	S1	OP3Div2	96.1	94.9	AB015559	100.0	100.0
AB248652_1_1511	S1	OP3Div3	96.2	95.2	AB248652	100.0	100.0
AB252431_1_1519	S1	OP3Div4	96.7	95.0	AB252431	100.0	100.0
AB294931_1_1422	S1	OP3Div1	97.0	94.8	AB294931	100.0	100.0
AB805898_1_1479	S1	OP3Div2	96.1	94.9	EU386085	98.0	100.0
AB824991_1_373	S1	OP3Div2	23.8	29.1	EU385777	99.7	99.5
AB232814_1_1511	S1	OP3Div3	96.2	95.2	AB232814	100.0	100.0
AB248654_1_1511	S1	OP3Div3	95.5	94.8	AB248654	100.0	100.0
AB645184_1_892	S1	OP3Div1	64.3	62.8	EU385719	98.3	100.0
AB645188_1_871	S1	OP3Div2	63.7	62.6	EU385790	98.3	100.0
AB645194_1_892	S1	OP3Div1	64.3	62.8	EU385719	98.4	100.0
AB734621_1_375	S1	OP3Div1	24.2	29.2	AB294931	97.3	100.0
AB825505_1_373	S1	OP3Div2	23.8	29.1	EU386066	97.3	100.0
AB825531_1_373	S1	OP3Div2	23.8	29.1	EU385743	97.9	100.0
AF027088_1_1511	S1	OP3Div4	97.3	95.5	AF027088	100.0	100.0
AB015551_1_1553	S1	OP3Div5	96.4	95.4	AB015551	100.0	100.0
AB232821_1_1515	S1	OP3Div3	96.2	95.2	AB232821	100.0	100.0
AB294345_1_1480	S1	OP3Div1	96.5	94.7	AB294345	100.0	100.0
AB805897_1_1479	S1	OP3Div2	96.1	94.9	EU386085	98.6	100.0
AB232806_1_1510	S1	OP3Div3	96.2	95.2	AB232806	100.0	100.0
AB248653_1_1507	S1	OP3Div3	95.3	94.4	AB248653	100.0	100.0
ABSQ01002461_1_884	S1	OP3Div1	46.9	51.2	DQ676384	99.5	93.0
AF107329_1_499	S1	OP3Div1	39.8	32.4	FJ437883	97.4	100.0
AB645183_1_883	S1	OP3Div2	63.9	62.8	EU385790	97.1	100.0
AB645187_1_878	S1	OP3Div2	63.7	62.6	EU385716	97.8	100.0
AB794478_1_632	S1	OP3Div3	44.8	49.3	DQ404728	99.4	100.0
AB824993_1_326	S1	OP3Div1	22.5	25.4	EU385922	98.5	100.0
AB825221_1_373	S1	OP3Div2	23.8	29.1	EU386085	98.9	100.0
AF407207_1_1491	S1	OP3Div3	95.4	94.9	AF407207	100.0	100.0
AF524029_1_1298	S1	OP3Div1	96.7	94.9	AF524029	100.0	100.0
AF419696_1_1506	S1	OP3Div2	96.4	94.7	AF419696	100.0	100.0
AF407201_1_1446	S1	OP3Div3	95.3	94.9	AF407201	100.0	100.0
AM162486_1_1506	S1	OP3Div5	95.9	95.1	AM162486	100.0	100.0
AJ224540_1_1504	S1	OP3Div5	95.5	94.4	AJ224540	100.0	100.0
AF507707_1_1495	S1	OP3Div5	96.5	95.3	AF507707	100.0	100.0
AJ390471_1_1323	S1	OP3Div3	96.3	95.3	AJ390471	100.0	100.0
AJ390463_1_1381	S1	OP3Div1	97.1	95.0	AJ390463	100.0	100.0
AJ518137_1_500	S1	OP3Div1	43.4	38.7	DQ676384	97.4	99.4
AJ567574_1_1526	S1	OP3Div2	96.4	95.2	AJ567574	100.0	100.0
AM712351_1_1573	S1	OP3Div4	96.7	94.9	AM712351	100.0	100.0
AM261936_1_368	S1	OP3Div3	23.7	28.7	DQ404728	97.6	100.0
AMWB02136182_12234_13777	S1	OP3Div1	96.4	94.9	FJ437883	98.2	98.8
AY050598_1_1506	S1	OP3Div6	96.7	95.2	AY050598	100.0	100.0
AM902635_1_1475	S1	OP3Div1	96.8	94.4	AM902635	100.0	100.0
AJ518114_1_500	S1	OP3Div1	44.0	38.8	FJ437883	98.2	100.0
AM991240_1_1475	S1	OP3Div5	96.1	95.2	AM991240	100.0	100.0
AJ567573_1_1527	S1	OP3Div2	96.0	95.0	AJ567573	100.0	100.0
AM040127_1_1491	S1	OP3Div5	96.3	94.5	AM040127	100.0	100.0
AY373410_1_1506	S1	OP3Div2	95.6	94.1	AY373410	100.0	100.0
AM261927_1_368	S1	OP3Div3	23.7	28.7	DQ404728	99.5	100.0
AY547756_1_701	S1	OP3Div4	48.1	52.7	EF687299	98.7	100.0
AY164351_1_641	S1	OP3Div4	41.0	45.2	EF687299	99.5	100.0
AY547810_1_607	S1	OP3Div4	40.6	44.3	EF687299	98.8	100.0
AY547869_1_711	S1	OP3Div4	46.8	51.6	EF687299	98.5	100.0
AY164396_1_699	S1	OP3Div4	45.2	50.0	EF687299	98.4	100.0
