#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	Hit	PID	QCov
AB015559_1_1530	S1	OP3Div2	96.1	94.9	AB015559	100.0	100.0
AB177047_1_947	S1	OP3Div2	64.4	64.7	EU386085	82.3	100.0
AB213127_1_876	S1	OP3Div2	56.4	60.4	EU386085	86.5	100.0
AB214969_1_300	S1	OP3Div2	21.9	23.4	AY792313	95.3	100.0
AB248652_1_1511	S1	OP3Div3	96.2	95.2	AB248652	100.0	100.0
AB252431_1_1519	S1	OP3Div4	96.7	95.0	AB252431	100.0	100.0
AB291382_1_563	S1	OP3Div1	32.1	29.5	AF524029	92.9	74.4
AB294931_1_1422	S1	OP3Div1	97.0	94.8	AB294931	100.0	100.0
AB305594_1_906	S1	OP3Div4	61.1	63.0	AF027088	80.9	94.9
AB329860_1_874	S1	OP3Div5	56.4	61.0	FJ205385	95.1	100.0
AB374901_1_835	S1	OP3Div1	54.0	57.1	DQ070819	93.8	98.9
AB518652_1_586	S1	OP3Div1	40.7	35.6	EU134911	87.3	52.9
AB580434_1_484	S1	OP3Div2	38.5	32.3	EU881347	88.6	100.0
AB606827_1_904	S1	OP3Div2	56.9	62.2	AY373410	93.3	100.0
AB636035_1_685	S1	OP3Div3	50.8	53.4	AY667264	90.8	100.0
AB645186_1_933	S1	OP3Div2	63.9	62.7	AF419696	85.6	71.1
AB645190_1_877	S1	OP3Div2	62.7	62.1	AY627570	83.3	74.9
AB645310_1_890	S1	OP3Div1	63.4	62.5	EU385719	84.9	100.0
AB687812_1_600	S1	OP3Div4	34.7	36.7	EF602488	88.5	93.8
AB702028_1_375	S1	OP3Div2	23.8	29.2	EU385777	88.9	100.0
AB722118_1_1407	S1	OP3Div2	96.2	94.9	EU386007	84.8	98.7
AB722218_1_1365	S1	OP3Div2	96.7	94.8	AY792313	90.9	99.9
AB745091_1_538	S1	OP3Div3	35.2	41.9	AB232821	92.9	93.7
AB770309_1_332	S1	OP3Div3	19.8	25.9	AB248652	89.8	100.0
AB780161_1_736	S1	OP3Div1	54.5	49.4	EF032777	89.3	97.3
AB794418_1_625	S1	OP3Div2	44.0	48.5	AJ567574	91.7	100.0
AB805898_1_1479	S1	OP3Div2	96.1	94.9	EU386085	98.0	100.0
AB805902_1_1470	S1	OP3Div2	96.7	94.9	EU385720	86.6	99.9
AB805906_1_1529	S1	OP3Div2	96.9	94.8	AF419696	86.5	78.8
AB805908_1_1515	S1	OP3Div2	97.3	95.5	EU522667	84.8	79.8
AB805912_1_1518	S1	OP3Div2	97.3	95.0	EU522667	83.7	88.7
AB805916_1_1485	S1	OP3Div3	92.5	93.3	AF407207	86.5	92.1
AB806421_1_1482	S1	OP3Div1	96.2	94.3	EU385719	86.3	100.0
AB806425_1_1489	S1	OP3Div1	96.5	94.2	EU385719	86.3	99.8
AB824951_1_371	S1	OP3Div2	23.8	28.9	EU386066	95.2	100.0
AB824991_1_373	S1	OP3Div2	23.8	29.1	EU385777	99.7	99.5
AB825063_1_377	S1	OP3Div1	24.2	29.2	AF524029	95.0	100.0
AB825218_1_373	S1	OP3Div2	23.8	29.1	AB015559	88.9	98.7
AB825334_1_375	S1	OP3Div2	24.2	29.2	EU385777	88.4	98.7
AB825366_1_373	S1	OP3Div2	23.8	29.1	AB015559	89.5	98.7
AB825434_1_377	S1	OP3Div3	24.2	29.3	AB248652	88.1	100.0
AB825545_1_373	S1	OP3Div2	24.1	29.1	EU386007	85.6	99.2
AB825586_1_377	S1	OP3Div3	24.2	29.3	AB232814	87.8	99.7
AB827189_1_373	S1	OP3Div2	23.8	29.1	EU386066	89.3	100.0
AB858551_1_1467	S1	OP3Div2	97.2	94.9	AY532589	91.4	100.0
AB858625_1_1408	S1	OP3Div3	95.1	94.9	AF407201	84.5	94.3
AB924396_1_1504	S1	OP3Div4	97.5	95.1	AF027088	93.0	99.8
AB930499_1_1468	S1	OP3Div5	96.1	94.9	AY661975	92.2	100.0
AF010083_1_427	S1	OP3Div5	33.9	27.8	EU245967	87.2	76.3
AF146254_1_997	S1	OP3Div2	56.1	61.5	EU385956	86.6	96.3
AACY021407649_1_854	S1	OP3Div2	55.4	66.2	EU386007	85.7	99.9
AB094810_1_873	S1	OP3Div2	63.6	60.5	EU522667	85.2	73.7
AB177076_1_907	S1	OP3Div3	60.0	62.2	AF407207	86.1	88.4
AB214964_1_300	S1	OP3Div5	21.9	23.3	AF507707	87.8	98.0
AB232814_1_1511	S1	OP3Div3	96.2	95.2	AB232814	100.0	100.0
AB248654_1_1511	S1	OP3Div3	95.5	94.8	AB248654	100.0	100.0
AB294344_1_1468	S1	OP3Div2	95.9	94.2	EU881347	92.2	100.0
AB305436_1_886	S1	OP3Div4	61.1	62.9	AF027088	80.8	97.1
AB305612_1_924	S1	OP3Div2	63.2	63.7	EU385667	81.4	91.6
AB329901_1_874	S1	OP3Div3	56.4	61.2	FJ437841	87.4	100.0
AB424896_1_688	S1	OP3Div5	41.7	52.7	FJ205385	91.8	100.0
AB598195_1_1145	S1	OP3Div1	69.9	74.3	EU385719	87.4	99.0
AB611103_1_941	S1	OP3Div4	64.2	64.3	AB252431	93.3	100.0
AB645184_1_892	S1	OP3Div1	64.3	62.8	EU385719	98.3	100.0
AB645188_1_871	S1	OP3Div2	63.7	62.6	EU385790	98.3	100.0
AB645194_1_892	S1	OP3Div1	64.3	62.8	EU385719	98.4	100.0
AB661532_1_1410	S1	OP3Div2	96.7	94.8	AY792313	90.7	94.0
AB668421_1_519	S1	OP3Div1	44.4	39.3	EU385719	94.4	100.0
AB690717_1_800	S1	OP3Div5	61.2	57.9	EU491137	87.2	94.6
AB703559_1_481	S1	OP3Div5	39.2	32.9	AF507707	87.0	91.7
AB722207_1_1415	S1	OP3Div3	95.1	94.9	FJ437841	90.2	99.9
AB734621_1_375	S1	OP3Div1	24.2	29.2	AB294931	97.3	100.0
AB745093_1_552	S1	OP3Div3	35.5	42.9	AF407201	89.7	92.9
AB770237_1_476	S1	OP3Div3	31.9	37.1	AB232806	84.9	98.9
AB770438_1_476	S1	OP3Div2	32.0	37.1	EU385777	88.2	97.9
AB794403_1_633	S1	OP3Div2	45.0	49.3	EU048672	88.2	97.5
AB794524_1_627	S1	OP3Div2	44.7	48.7	EU937932	92.4	100.0
AB805900_1_1433	S1	OP3Div2	96.6	95.1	EU385720	89.3	98.4
AB805904_1_1479	S1	OP3Div2	96.1	94.9	EU386085	95.9	100.0
AB805910_1_1480	S1	OP3Div2	96.6	94.9	EU386066	93.7	100.0
AB805914_1_1509	S1	OP3Div4	96.3	95.2	EU386021	91.1	99.7
AB805918_1_1484	S1	OP3Div2	96.4	94.8	EU385956	92.5	98.9
AB806423_1_1482	S1	OP3Div1	95.7	94.1	EU385719	86.3	100.0
AB806427_1_1489	S1	OP3Div1	96.3	94.2	EU385719	86.2	99.8
AB824994_1_374	S1	OP3Div2	24.2	29.2	AY627570	96.8	100.0
AB825098_1_373	S1	OP3Div2	23.8	29.1	EU386033	86.7	98.7
AB825297_1_374	S1	OP3Div3	23.8	29.2	DQ088765	85.5	100.0
AB825360_1_374	S1	OP3Div2	23.7	29.0	EU385720	85.1	99.7
AB825378_1_373	S1	OP3Div2	23.8	29.1	EU385956	93.6	100.0
AB825505_1_373	S1	OP3Div2	23.8	29.1	EU386066	97.3	100.0
AB825531_1_373	S1	OP3Div2	23.8	29.1	EU385743	97.9	100.0
AB825579_1_374	S1	OP3Div2	24.2	29.2	EU385765	86.1	100.0
AB827092_1_377	S1	OP3Div1	24.2	29.2	AJ390463	93.9	100.0
AB858531_1_1446	S1	OP3Div3	96.0	95.1	DQ837261	85.2	91.8
AB858608_1_1446	S1	OP3Div3	96.0	95.1	DQ837261	85.2	91.8
AB874580_1_1507	S1	OP3Div3	95.3	94.9	DQ404728	96.0	100.0
AB902644_1_599	S1	OP3Div5	32.6	31.5	AM991240	92.2	95.5
AB924410_1_1493	S1	OP3Div3	92.5	93.3	AF407207	87.8	92.2
AB997952_1_606	S1	OP3Div1	41.1	47.0	CR933082	96.7	100.0
AF027088_1_1511	S1	OP3Div4	97.3	95.5	AF027088	100.0	100.0
AB015551_1_1553	S1	OP3Div5	96.4	95.4	AB015551	100.0	100.0
AB177036_1_960	S1	OP3Div2	65.2	64.8	EU048672	82.7	73.1
AB213112_1_887	S1	OP3Div5	56.3	60.7	EU491137	92.6	100.0
AB214967_1_300	S1	OP3Div5	21.9	23.4	AM991240	89.4	97.0
AB232821_1_1515	S1	OP3Div3	96.2	95.2	AB232821	100.0	100.0
AB248655_1_1550	S1	OP3Div3	95.8	94.2	AB232806	94.7	97.3
AB284827_1_871	S1	OP3Div4	56.3	61.1	EF602488	89.6	100.0
AB294345_1_1480	S1	OP3Div1	96.5	94.7	AB294345	100.0	100.0
AB305548_1_896	S1	OP3Div2	64.5	64.6	EU385956	93.8	100.0
AB329850_1_304	S1	OP3Div1	20.9	17.2	AM902635	86.0	100.0
AB364884_1_1512	S1	OP3Div3	95.9	95.0	AF407207	88.9	93.5
AB433166_1_886	S1	OP3Div2	63.7	62.8	EU385777	93.0	99.7
AB606807_1_902	S1	OP3Div1	57.0	62.4	AJ390463	92.3	100.0
AB629247_1_870	S1	OP3Div1	56.7	61.3	AJ390463	91.0	100.0
AB645185_1_898	S1	OP3Div2	62.9	62.2	EU385743	83.2	73.7
AB645189_1_882	S1	OP3Div2	63.7	62.6	EU386066	87.1	100.0
AB645309_1_890	S1	OP3Div1	63.6	62.4	EU385719	85.0	99.8
AB672568_1_669	S1	OP3Div3	52.4	51.2	AF407207	85.6	96.1
AB694430_1_1416	S1	OP3Div5	95.8	94.5	FJ205385	90.4	94.7
AB704357_1_888	S1	OP3Div1	66.2	68.2	EU385719	92.9	100.0
AB722208_1_1418	S1	OP3Div3	95.3	94.9	FJ437841	96.2	100.0
AB734635_1_373	S1	OP3Div1	23.8	29.1	EU385719	85.4	100.0
AB754051_1_1470	S1	OP3Div2	96.7	94.7	AY792313	91.5	100.0
AB770249_1_467	S1	OP3Div3	31.4	36.4	AB232806	90.6	100.0
AB770453_1_474	S1	OP3Div3	31.3	37.0	AB232806	90.2	98.9
AB794414_1_633	S1	OP3Div2	45.2	49.1	EU937932	92.8	100.0
AB805897_1_1479	S1	OP3Div2	96.1	94.9	EU386085	98.6	100.0
AB805901_1_1489	S1	OP3Div2	96.9	94.8	EU522667	86.1	79.2
AB805905_1_1491	S1	OP3Div2	96.9	94.8	EU386066	84.4	99.3
AB805907_1_1496	S1	OP3Div2	96.9	94.9	EU386066	85.0	98.9
AB805911_1_1509	S1	OP3Div4	96.0	95.2	EF602488	89.4	94.1
AB805915_1_1495	S1	OP3Div3	92.5	93.3	AF407207	87.0	91.4
AB805919_1_1470	S1	OP3Div2	96.5	94.9	EU385956	95.0	99.9
AB806424_1_1482	S1	OP3Div1	96.2	94.2	EU385719	86.7	100.0
AB806428_1_1489	S1	OP3Div1	96.5	94.2	EU385719	86.3	99.8
AB824995_1_373	S1	OP3Div2	24.1	29.1	FJ437903	78.9	98.9
AB825175_1_373	S1	OP3Div1	23.8	29.1	EU385719	86.5	100.0
AB825331_1_371	S1	OP3Div2	23.5	28.9	EU386066	82.7	98.7
AB825365_1_374	S1	OP3Div2	23.8	29.1	EU386066	84.1	100.0
AB825382_1_373	S1	OP3Div2	23.8	29.1	EU386007	85.3	99.2
AB077356_1_985	S1	OP3Div1	56.4	60.4	FJ205349	89.1	96.6
AB825533_1_374	S1	OP3Div2	24.2	29.2	EU881347	84.0	98.7
AB177048_1_947	S1	OP3Div2	64.4	64.7	EU386085	82.3	100.0
AB825584_1_374	S1	OP3Div2	23.8	29.1	EU522667	85.9	100.0
AB214960_1_301	S1	OP3Div2	21.9	23.5	AY792313	91.8	100.0
AB827172_1_373	S1	OP3Div5	23.8	29.1	AB015551	94.7	100.0
AB232806_1_1510	S1	OP3Div3	96.2	95.2	AB232806	100.0	100.0
AB858546_1_1449	S1	OP3Div5	97.1	95.3	EU245967	87.6	99.4
AB248653_1_1507	S1	OP3Div3	95.3	94.4	AB248653	100.0	100.0
AB858619_1_1446	S1	OP3Div3	95.9	95.1	DQ837261	84.8	91.7
AB291539_1_458	S1	OP3Div3	22.1	22.2	FJ437841	88.2	90.6
AB897333_1_500	S1	OP3Div2	39.9	32.6	AY013695	90.3	45.2
AB305376_1_974	S1	OP3Div4	64.5	64.5	AB252431	96.0	2.57
AB924391_1_1540	S1	OP3Div2	96.8	95.2	EU385777	84.0	88.4
AB305603_1_969	S1	OP3Div5	63.6	64.0	AM162486	82.9	70.5
AB928865_1_589	S1	OP3Div1	38.6	45.6	EU134907	89.6	100.0
AB329875_1_864	S1	OP3Div3	56.3	60.6	FJ437841	87.1	100.0
ABSQ01002461_1_884	S1	OP3Div1	46.9	51.2	DQ676384	99.5	93.0
AB424831_1_881	S1	OP3Div5	56.4	61.2	EU491137	90.4	100.0
AF107329_1_499	S1	OP3Div1	39.8	32.4	FJ437883	97.4	100.0
AB560122_1_850	S1	OP3Div2	62.9	59.4	EU386007	81.8	89.2
AB580609_1_490	S1	OP3Div2	38.8	32.4	EU881347	90.1	100.0
AB611074_1_941	S1	OP3Div4	64.2	64.3	AB252431	93.0	100.0
AB645183_1_883	S1	OP3Div2	63.9	62.8	EU385790	97.1	100.0
AB645187_1_878	S1	OP3Div2	63.7	62.6	EU385716	97.8	100.0
AB645192_1_892	S1	OP3Div3	59.3	60.5	DQ088765	84.5	100.0
AB660307_1_867	S1	OP3Div2	63.9	61.5	EU937932	89.5	99.3
AB661600_1_1467	S1	OP3Div2	95.5	94.2	EU881347	90.6	100.0
AB687868_1_542	S1	OP3Div4	32.4	31.8	EF602488	88.0	93.0
AB702576_1_373	S1	OP3Div2	23.8	29.1	EU385956	91.3	98.7
AB722198_1_1416	S1	OP3Div4	96.7	95.1	EU386021	84.9	99.7
AB734572_1_373	S1	OP3Div4	23.8	29.1	AY344402	94.6	100.0
AB745092_1_571	S1	OP3Div3	38.2	44.5	AB232806	91.6	99.6
AB770406_1_477	S1	OP3Div3	32.1	37.2	AB232806	91.8	99.0
AB794400_1_633	S1	OP3Div2	45.5	49.4	FJ437903	86.5	97.9
AB794478_1_632	S1	OP3Div3	44.8	49.3	DQ404728	99.4	100.0
AB805899_1_1484	S1	OP3Div2	96.6	95.1	EU385720	89.3	99.5
AB805903_1_1480	S1	OP3Div2	96.6	95.0	EU386066	96.4	100.0
AB805909_1_1480	S1	OP3Div2	96.6	94.9	EU386066	93.9	100.0
AB805913_1_1508	S1	OP3Div4	96.4	95.2	EU386021	90.9	99.8
AB805917_1_1508	S1	OP3Div4	96.3	95.2	EU386021	90.8	99.8
AB806422_1_1474	S1	OP3Div1	95.7	94.1	EU385719	86.3	100.0
AB806426_1_1489	S1	OP3Div1	96.5	94.2	EU385719	86.2	99.8
AB824978_1_373	S1	OP3Div2	23.8	29.1	EU386007	89.7	98.7
AB824993_1_326	S1	OP3Div1	22.5	25.4	EU385922	98.5	100.0
AB825089_1_373	S1	OP3Div5	23.8	29.1	FJ205385	95.7	100.0
AB825221_1_373	S1	OP3Div2	23.8	29.1	EU386085	98.9	100.0
AB825356_1_377	S1	OP3Div1	24.2	29.2	FJ437883	85.3	100.0
AB825375_1_373	S1	OP3Div2	23.8	29.1	EU386066	90.1	100.0
AB825464_1_374	S1	OP3Div1	24.1	29.1	AB294931	78.0	100.0
AB825508_1_374	S1	OP3Div2	23.8	29.1	EU386066	89.0	100.0
AB825574_1_377	S1	OP3Div1	24.2	29.2	AB294931	86.4	100.0
AB827048_1_375	S1	OP3Div2	23.8	29.1	AJ567574	91.2	100.0
AB858514_1_1438	S1	OP3Div2	97.2	95.0	EU522667	84.1	92.8
AB858593_1_1453	S1	OP3Div3	96.7	95.3	DQ837261	84.3	91.7
AB858648_1_1432	S1	OP3Div1	97.2	95.1	EU385719	84.3	92.9
AB924397_1_1502	S1	OP3Div4	97.5	95.1	AF027088	93.4	99.7
AB997934_1_606	S1	OP3Div1	41.1	47.0	CR933082	96.5	100.0
AF010116_1_428	S1	OP3Div5	33.9	27.8	EU491175	88.8	87.4
