#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	Flag
AB_133_D10	S1	ZetaOtu14	99.6	99.9	0
KM042429	S1	ZetaOtu14	65.8	62.5	FRAGMENT_LARGE
ARAN01000102	S1	ZetaOtu8	35.9	40.2	FRAGMENT_LARGE
ARAP01000143	S1	ZetaOtu6	95.6	96.3	AMBIGUOUS_BASES
KM042430	S1	ZetaOtu2	65.3	62.0	FRAGMENT_LARGE
KM042431	S1	ZetaOtu2	65.3	62.3	FRAGMENT_LARGE
KM042432	S1	ZetaOtu2	65.6	62.4	FRAGMENT_LARGE
KM042433	S1	ZetaOtu2	65.8	62.5	FRAGMENT_LARGE
KM042435	S1	ZetaOtu2	65.3	61.9	FRAGMENT_LARGE
KM042436	S1	ZetaOtu2	65.2	62.0	FRAGMENT_LARGE
KM042437	S1	ZetaOtu1	65.3	61.9	FRAGMENT_LARGE
KM042438	S1	ZetaOtu2	65.6	62.4	FRAGMENT_LARGE
KM042439	S1	ZetaOtu2	65.6	62.4	FRAGMENT_LARGE
KM042440	S1	ZetaOtu2	65.2	62.2	FRAGMENT_LARGE
KM042441	S1	ZetaOtu2	65.6	62.4	FRAGMENT_LARGE
KM042444	S1	ZetaOtu2	57.4	51.4	FRAGMENT_LARGE
KM042445	S1	ZetaOtu2	65.8	62.5	FRAGMENT_LARGE
KM042446	S1	ZetaOtu14	65.8	62.5	FRAGMENT_LARGE
KM042448	S1	ZetaOtu1	65.6	62.4	FRAGMENT_LARGE
KM042450	S1	ZetaOtu14	65.3	61.9	FRAGMENT_LARGE
KM042452	S1	ZetaOtu2	65.3	62.2	FRAGMENT_LARGE
KM042455	S1	ZetaOtu2	58.2	53.0	FRAGMENT_LARGE
KM042456	S1	ZetaOtu1	65.3	62.0	FRAGMENT_LARGE
KM042459	S1	ZetaOtu2	58.2	52.8	FRAGMENT_LARGE
KM042460	S1	ZetaOtu2	65.8	62.5	FRAGMENT_LARGE
KM042461	S1	ZetaOtu2	65.3	62.3	FRAGMENT_LARGE
KM042463	S1	ZetaOtu1	65.3	61.9	FRAGMENT_LARGE
KM042466	S1	ZetaOtu2	65.3	62.2	FRAGMENT_LARGE
KM042467	S1	ZetaOtu2	65.3	62.2	FRAGMENT_LARGE
KM042469	S1	ZetaOtu2	65.3	62.2	FRAGMENT_LARGE
KM042470	S1	ZetaOtu2	65.3	61.9	FRAGMENT_LARGE
KM042472	S1	ZetaOtu1	65.3	62.2	FRAGMENT_LARGE
KM042473	S1	ZetaOtu2	65.2	62.2	FRAGMENT_LARGE
KM042474	S1	ZetaOtu1	65.6	62.4	FRAGMENT_LARGE
KM042475	S1	ZetaOtu2	65.6	62.4	FRAGMENT_LARGE
KM042476	S1	ZetaOtu1	65.8	62.5	FRAGMENT_LARGE
KM042477	S1	ZetaOtu2	65.3	62.2	FRAGMENT_LARGE
KM042478	S1	ZetaOtu2	65.3	61.9	FRAGMENT_LARGE
KM042480	S1	ZetaOtu1	65.3	61.9	FRAGMENT_LARGE
KM042485	S1	ZetaOtu2	65.3	62.3	FRAGMENT_LARGE
KM042486	S1	ZetaOtu2	65.3	62.2	FRAGMENT_LARGE
KM042487	S1	ZetaOtu2	65.3	62.2	FRAGMENT_LARGE
KM042488	S1	ZetaOtu2	65.3	62.3	FRAGMENT_LARGE
KM042493	S1	ZetaOtu2	65.3	62.2	FRAGMENT_LARGE
KM042496	S1	ZetaOtu2	65.0	61.6	FRAGMENT_LARGE
KM042497	S1	ZetaOtu1	65.3	62.2	FRAGMENT_LARGE
KM042499	S1	ZetaOtu1	65.3	62.1	FRAGMENT_LARGE
KM042500	S1	ZetaOtu2	65.2	61.9	FRAGMENT_LARGE
KM042502	S1	ZetaOtu2	65.3	61.9	FRAGMENT_LARGE
KM042503	S1	ZetaOtu2	65.3	62.2	FRAGMENT_LARGE
KM042504	S1	ZetaOtu2	65.2	62.2	FRAGMENT_LARGE
KM042507	S1	ZetaOtu2	65.6	62.4	FRAGMENT_LARGE
AB_133_M17	S1	ZetaOtu2	99.6	99.8	0
AB_137_C09	S2	ZetaOtu6	99.7	99.8	0
AB_137_G16	S2	ZetaOtu2	99.8	99.9	0
AB_137_I08	S2	ZetaOtu2	99.8	99.9	AMBIGUOUS_BASES
ARAO01000236	S2	ZetaOtu2	99.8	99.9	AMBIGUOUS_BASES
AB_137_J06	S2	ZetaOtu14	99.6	99.9	0
