#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	Hit	PID	QCov
AB_133_D10	S1	ZetaOtu14	99.6	99.9	ZH_GOLD_v3_2525840915	100.0	100.0
KM042429	S1	ZetaOtu14	65.8	62.5	ZH_GOLD_v3_2525840915	100.0	100.0
ARAN01000102	S1	ZetaOtu8	35.9	40.2	ZH_GOLD_v3_FJ905632_1_1408	99.2	89.7
ARAP01000143	S1	ZetaOtu6	95.6	96.3	ZH_GOLD_v3_FJ001799_1_1456	98.5	98.1
KM042430	S1	ZetaOtu2	65.3	62.0	ZH_GOLD_v3_JF320751_1_1456	99.5	97.7
KM042431	S1	ZetaOtu2	65.3	62.3	ZH_GOLD_v3_2525850073	99.4	100.0
KM042432	S1	ZetaOtu2	65.6	62.4	ZH_GOLD_v3_2525850073	99.5	100.0
KM042433	S1	ZetaOtu2	65.8	62.5	ZH_GOLD_v3_JF320719_1_1456	99.9	97.8
KM042435	S1	ZetaOtu2	65.3	61.9	ZH_GOLD_v3_KY417843_1	99.5	98.3
KM042436	S1	ZetaOtu2	65.2	62.0	ZH_GOLD_v3_JQ287267_1_1497	98.0	100.0
KM042437	S1	ZetaOtu1	65.3	61.9	ZH_GOLD_v3_FJ001796_1_1458	100.0	97.9
KM042438	S1	ZetaOtu2	65.6	62.4	ZH_GOLD_v3_JF320719_1_1456	99.9	97.8
KM042439	S1	ZetaOtu2	65.6	62.4	ZH_GOLD_v3_2525850073	99.5	100.0
KM042440	S1	ZetaOtu2	65.2	62.2	ZH_GOLD_v3_JQ287267_1_1497	98.2	100.0
KM042441	S1	ZetaOtu2	65.6	62.4	ZH_GOLD_v3_2525850073	99.9	100.0
KM042444	S1	ZetaOtu2	57.4	51.4	ZH_GOLD_v3_2525850073	99.4	100.0
KM042445	S1	ZetaOtu2	65.8	62.5	ZH_GOLD_v3_2525850073	99.5	100.0
KM042446	S1	ZetaOtu14	65.8	62.5	ZH_GOLD_v3_ARAL01000103_3165_4681	99.0	100.0
KM042448	S1	ZetaOtu1	65.6	62.4	ZH_GOLD_v3_KY417844_1	100.0	97.6
KM042450	S1	ZetaOtu14	65.3	61.9	ZH_GOLD_v3_2525840915	99.9	100.0
KM042452	S1	ZetaOtu2	65.3	62.2	ZH_GOLD_v3_2525850073	99.9	100.0
KM042455	S1	ZetaOtu2	58.2	53.0	ZH_GOLD_v3_JF320719_1_1456	100.0	97.4
KM042456	S1	ZetaOtu1	65.3	62.0	ZH_GOLD_v3_KY417844_1	100.0	97.6
KM042459	S1	ZetaOtu2	58.2	52.8	ZH_GOLD_v3_JF320719_1_1456	100.0	97.3
KM042460	S1	ZetaOtu2	65.8	62.5	ZH_GOLD_v3_2525850073	99.7	100.0
KM042461	S1	ZetaOtu2	65.3	62.3	ZH_GOLD_v3_2525850073	99.7	100.0
KM042463	S1	ZetaOtu1	65.3	61.9	ZH_GOLD_v3_KY417853_1	99.0	97.7
KM042466	S1	ZetaOtu2	65.3	62.2	ZH_GOLD_v3_JQ287267_1_1497	97.8	100.0
KM042467	S1	ZetaOtu2	65.3	62.2	ZH_GOLD_v3_2525850073	99.5	100.0
KM042469	S1	ZetaOtu2	65.3	62.2	ZH_GOLD_v3_2525850073	99.5	100.0
KM042470	S1	ZetaOtu2	65.3	61.9	ZH_GOLD_v3_2525850073	100.0	100.0
KM042472	S1	ZetaOtu1	65.3	62.2	ZH_GOLD_v3_KY417853_1	99.4	97.9
KM042473	S1	ZetaOtu2	65.2	62.2	ZH_GOLD_v3_JQ287267_1_1497	97.9	100.0
KM042474	S1	ZetaOtu1	65.6	62.4	ZH_GOLD_v3_KY417853_1	99.6	97.7
KM042475	S1	ZetaOtu2	65.6	62.4	ZH_GOLD_v3_JF320719_1_1456	100.0	97.7
KM042476	S1	ZetaOtu1	65.8	62.5	ZH_GOLD_v3_KY417853_1	99.2	97.6
KM042477	S1	ZetaOtu2	65.3	62.2	ZH_GOLD_v3_2525850073	99.4	100.0
KM042478	S1	ZetaOtu2	65.3	61.9	ZH_GOLD_v3_JF320719_1_1456	99.9	97.7
KM042480	S1	ZetaOtu1	65.3	61.9	ZH_GOLD_v3_KY417853_1	99.6	97.7
KM042485	S1	ZetaOtu2	65.3	62.3	ZH_GOLD_v3_JQ287267_1_1497	99.0	100.0
KM042486	S1	ZetaOtu2	65.3	62.2	ZH_GOLD_v3_2525850073	99.9	100.0
KM042487	S1	ZetaOtu2	65.3	62.2	ZH_GOLD_v3_2525850073	99.9	100.0
KM042488	S1	ZetaOtu2	65.3	62.3	ZH_GOLD_v3_2525850073	99.5	100.0
KM042493	S1	ZetaOtu2	65.3	62.2	ZH_GOLD_v3_2525848513	99.9	100.0
