#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	Flag
AB015559_1_1530	S1	OP3Div2	96.1	94.9	0
AB248652_1_1511	S1	OP3Div3	96.2	95.2	0
AB252431_1_1519	S1	OP3Div4	96.7	95.0	0
AB294931_1_1422	S1	OP3Div1	97.0	94.8	0
AB805898_1_1479	S1	OP3Div2	96.1	94.9	0
AB824991_1_373	S1	OP3Div2	23.8	29.1	FRAGMENT_SMALL
AB232814_1_1511	S1	OP3Div3	96.2	95.2	0
AB248654_1_1511	S1	OP3Div3	95.5	94.8	AMBIGUOUS_BASES
AB645184_1_892	S1	OP3Div1	64.3	62.8	FRAGMENT_LARGE
AB645188_1_871	S1	OP3Div2	63.7	62.6	FRAGMENT_LARGE
AB645194_1_892	S1	OP3Div1	64.3	62.8	FRAGMENT_LARGE
AB734621_1_375	S1	OP3Div1	24.2	29.2	FRAGMENT_SMALL
AB825505_1_373	S1	OP3Div2	23.8	29.1	FRAGMENT_SMALL
AB825531_1_373	S1	OP3Div2	23.8	29.1	FRAGMENT_SMALL
AF027088_1_1511	S1	OP3Div4	97.3	95.5	0
AB015551_1_1553	S1	OP3Div5	96.4	95.4	0
AB232821_1_1515	S1	OP3Div3	96.2	95.2	0
AB294345_1_1480	S1	OP3Div1	96.5	94.7	0
AB805897_1_1479	S1	OP3Div2	96.1	94.9	0
AB232806_1_1510	S1	OP3Div3	96.2	95.2	0
AB248653_1_1507	S1	OP3Div3	95.3	94.4	0
ABSQ01002461_1_884	S1	OP3Div1	46.9	51.2	FRAGMENT_LARGE
AF107329_1_499	S1	OP3Div1	39.8	32.4	FRAGMENT_LARGE
AB645183_1_883	S1	OP3Div2	63.9	62.8	FRAGMENT_LARGE
AB645187_1_878	S1	OP3Div2	63.7	62.6	FRAGMENT_LARGE
AB794478_1_632	S1	OP3Div3	44.8	49.3	FRAGMENT_LARGE
AB824993_1_326	S1	OP3Div1	22.5	25.4	FRAGMENT_SMALL
AB825221_1_373	S1	OP3Div2	23.8	29.1	FRAGMENT_SMALL
AF407207_1_1491	S1	OP3Div3	95.4	94.9	AMBIGUOUS_BASES
AF524029_1_1298	S1	OP3Div1	96.7	94.9	0
AF419696_1_1506	S1	OP3Div2	96.4	94.7	0
AF407201_1_1446	S1	OP3Div3	95.3	94.9	0
AM162486_1_1506	S1	OP3Div5	95.9	95.1	0
AJ224540_1_1504	S1	OP3Div5	95.5	94.4	0
AF507707_1_1495	S1	OP3Div5	96.5	95.3	0
AJ390471_1_1323	S1	OP3Div3	96.3	95.3	AMBIGUOUS_BASES
AJ390463_1_1381	S1	OP3Div1	97.1	95.0	AMBIGUOUS_BASES
AJ518137_1_500	S1	OP3Div1	43.4	38.7	FRAGMENT_LARGE
AJ567574_1_1526	S1	OP3Div2	96.4	95.2	0
AM712351_1_1573	S1	OP3Div4	96.7	94.9	0
AM261936_1_368	S1	OP3Div3	23.7	28.7	FRAGMENT_SMALL
AMWB02136182_12234_13777	S1	OP3Div1	96.4	94.9	0
AY050598_1_1506	S1	OP3Div6	96.7	95.2	0
