#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	OTUComp
FJ485551_1_734	S1	OP3Div2	54.4	49.4	[["USR", 467], ["OP3Div2", 16]]
KP076452_1_790	S1	OP3Div2	57.2	54.6	[["USR", 467], ["OP3Div2", 16]]
KP076448_1_844	S1	OP3Div2	62.2	58.8	[["USR", 467], ["OP3Div2", 16]]
KJ589955_1_701	S1	OP3Div2	56.8	52.3	[["USR", 467], ["OP3Div2", 16]]
KJ589954_1_695	S1	OP3Div2	56.7	51.9	[["USR", 467], ["OP3Div2", 16]]
HM598263_1_1538	S1	OP3Div2	96.5	94.6	[["USR", 467], ["OP3Div2", 16]]
AB824994_1_374	S1	OP3Div2	24.2	29.2	[["USR", 467], ["OP3Div2", 16]]
AB858551_1_1467	S1	OP3Div2	97.2	94.9	[["USR", 467], ["OP3Div2", 16]]
LK936205_1_1076	S1	OP3Div2	80.0	81.4	[["USR", 467], ["OP3Div2", 16]]
HQ691945_1_1400	S1	OP3Div2	95.9	94.0	[["USR", 467], ["OP3Div2", 16]]
HM195163_1_901	S1	OP3Div2	56.7	62.2	[["USR", 467], ["OP3Div2", 16]]
KR269637_1_1066	S1	OP3Div2	66.9	69.7	[["USR", 467], ["OP3Div2", 16]]
KP687179_1_1538	S1	OP3Div2	96.5	94.6	[["USR", 467], ["OP3Div2", 16]]
FJ918480_1_561	S1	OP3Div2	40.3	34.2	[["USR", 467], ["OP3Div2", 16]]
KC010028_1_994	S1	OP3Div2	66.0	68.0	[["USR", 467], ["OP3Div2", 16]]
KJ511005_1_694	S1	OP3Div2	53.6	48.8	[["USR", 467], ["OP3Div2", 16]]
GU566954_1_694	S1	OP3Div2	53.6	48.8	[["USR", 467], ["OP3Div2", 16]]
KC860568_1_646	S1	OP3Div2	45.4	50.4	[["USR", 467], ["OP3Div2", 16]]
KU619486_1_473	S1	OP3Div2	34.6	36.0	[["USR", 467], ["OP3Div2", 16]]
AB825584_1_374	S1	OP3Div2	23.8	29.1	[["USR", 467], ["OP3Div2", 16]]
FJ484653_1_1356	S1	OP3Div2	96.2	94.5	[["USR", 467], ["OP3Div2", 16]]
KC604646_1_823	S1	OP3Div2	57.6	55.3	[["USR", 467], ["OP3Div2", 16]]
JQ817672_1_1502	S1	OP3Div2	96.9	94.8	[["USR", 467], ["OP3Div2", 16]]
JQ817452_1_1250	S1	OP3Div2	76.5	83.3	[["USR", 467], ["OP3Div2", 16]]
JX000983_1_1503	S1	OP3Div2	96.9	94.7	[["USR", 467], ["OP3Div2", 16]]
GU553758_1_1502	S1	OP3Div2	96.9	94.8	[["USR", 467], ["OP3Div2", 16]]
AB805906_1_1529	S1	OP3Div2	96.9	94.8	[["USR", 467], ["OP3Div2", 16]]
GU553782_1_1531	S1	OP3Div2	96.9	94.7	[["USR", 467], ["OP3Div2", 16]]
HQ883422_1_626	S1	OP3Div2	46.0	48.8	[["USR", 467], ["OP3Div2", 16]]
AB825375_1_373	S1	OP3Div2	23.8	29.1	[["USR", 467], ["OP3Div2", 16]]
JQ817082_1_1502	S1	OP3Div2	96.9	94.8	[["USR", 467], ["OP3Div2", 16]]
AB805901_1_1489	S1	OP3Div2	96.9	94.8	[["USR", 467], ["OP3Div2", 16]]
AB825218_1_373	S1	OP3Div2	23.8	29.1	[["USR", 467], ["OP3Div2", 16]]
AB827189_1_373	S1	OP3Div2	23.8	29.1	[["USR", 467], ["OP3Div2", 16]]
AB702576_1_373	S1	OP3Div2	23.8	29.1	[["USR", 467], ["OP3Div2", 16]]
AB805905_1_1491	S1	OP3Div2	96.9	94.8	[["USR", 467], ["OP3Div2", 16]]
HQ883427_1_639	S1	OP3Div2	46.7	49.1	[["USR", 467], ["OP3Div2", 16]]
HQ883390_1_746	S1	OP3Div2	50.1	57.4	[["USR", 467], ["OP3Div2", 16]]
HQ883426_1_646	S1	OP3Div2	47.5	50.4	[["USR", 467], ["OP3Div2", 16]]
HQ883424_1_625	S1	OP3Div2	45.5	48.8	[["USR", 467], ["OP3Div2", 16]]
HQ883425_1_625	S1	OP3Div2	45.5	48.8	[["USR", 467], ["OP3Div2", 16]]
HQ883423_1_632	S1	OP3Div2	47.1	49.3	[["USR", 467], ["OP3Div2", 16]]
AB825366_1_373	S1	OP3Div2	23.8	29.1	[["USR", 467], ["OP3Div2", 16]]
JQ816516_1_1520	S1	OP3Div2	97.0	95.0	[["USR", 467], ["OP3Div2", 16]]
HF545488_1_945	S1	OP3Div2	58.6	66.1	[["USR", 467], ["OP3Div2", 16]]
DQ996973_1_762	S1	OP3Div2	59.6	56.8	[["USR", 467], ["OP3Div2", 16]]
AB805907_1_1496	S1	OP3Div2	96.9	94.9	[["USR", 467], ["OP3Div2", 16]]
HQ883420_1_621	S1	OP3Div2	44.2	48.2	[["USR", 467], ["OP3Div2", 16]]
HQ883421_1_628	S1	OP3Div2	45.7	48.7	[["USR", 467], ["OP3Div2", 16]]
AB824978_1_373	S1	OP3Div2	23.8	29.1	[["USR", 467], ["OP3Div2", 16]]
AB805908_1_1515	S1	OP3Div2	97.3	95.5	[["USR", 467], ["OP3Div2", 16]]
EU385809_1_1531	S1	OP3Div2	96.9	94.8	[["USR", 467], ["OP3Div2", 16]]
HQ883419_1_620	S1	OP3Div2	44.8	48.3	[["USR", 467], ["OP3Div2", 16]]
HQ883380_1_744	S1	OP3Div2	50.0	57.1	[["USR", 467], ["OP3Div2", 16]]
HQ883416_1_608	S1	OP3Div2	42.7	47.4	[["USR", 467], ["OP3Div2", 16]]
HQ883417_1_641	S1	OP3Div2	44.5	50.0	[["USR", 467], ["OP3Div2", 16]]
HQ883418_1_615	S1	OP3Div2	43.6	48.0	[["USR", 467], ["OP3Div2", 16]]
AB094810_1_873	S1	OP3Div2	63.6	60.5	[["USR", 467], ["OP3Div2", 16]]
AB645186_1_933	S1	OP3Div2	63.9	62.7	[["USR", 467], ["OP3Div2", 16]]
EU445350_1_1209	S1	OP3Div2	79.7	80.4	[["USR", 467], ["OP3Div2", 16]]
AF224853_1_758	S1	OP3Div2	39.1	42.5	[["USR", 467], ["OP3Div2", 16]]
AF424407_1_911	S1	OP3Div2	56.5	61.9	[["USR", 467], ["OP3Div2", 16]]
AB805919_1_1470	S1	OP3Div2	96.5	94.9	[["USR", 467], ["OP3Div2", 16]]
FJ901410_1_779	S1	OP3Div2	52.8	56.9	[["USR", 467], ["OP3Div2", 16]]
AB305548_1_896	S1	OP3Div2	64.5	64.6	[["USR", 467], ["OP3Div2", 16]]
GQ143761_1_1554	S1	OP3Div2	96.7	95.0	[["USR", 467], ["OP3Div2", 16]]
AB805918_1_1484	S1	OP3Div2	96.4	94.8	[["USR", 467], ["OP3Div2", 16]]
FJ746089_1_1429	S1	OP3Div2	96.5	94.7	[["USR", 467], ["OP3Div2", 16]]
AB825378_1_373	S1	OP3Div2	23.8	29.1	[["USR", 467], ["OP3Div2", 16]]
DQ996918_1_737	S1	OP3Div2	59.3	56.6	[["USR", 467], ["OP3Div2", 16]]
DQ996917_1_736	S1	OP3Div2	59.2	56.6	[["USR", 467], ["OP3Div2", 16]]
FR851630_1_1007	S1	OP3Div2	75.3	75.6	[["USR", 467], ["OP3Div2", 16]]
FR851611_1_1056	S1	OP3Div2	75.3	75.6	[["USR", 467], ["OP3Div2", 16]]
FJ268515_1_1004	S1	OP3Div2	73.3	74.1	[["USR", 467], ["OP3Div2", 16]]
JQ816173_1_1483	S1	OP3Div2	96.8	95.1	[["USR", 467], ["OP3Div2", 16]]
HQ434792_1_735	S1	OP3Div2	58.2	55.8	[["USR", 467], ["OP3Div2", 16]]
AF224848_1_749	S1	OP3Div2	39.6	43.0	[["USR", 467], ["OP3Div2", 16]]
KM269695_1_1525	S1	OP3Div2	97.0	94.6	[["USR", 467], ["OP3Div2", 16]]
HM600640_1_400	S1	OP3Div2	30.1	31.2	[["USR", 467], ["OP3Div2", 16]]
AB794403_1_633	S1	OP3Div2	45.0	49.3	[["USR", 467], ["OP3Div2", 16]]
FJ902074_1_1313	S1	OP3Div2	97.2	95.2	[["USR", 467], ["OP3Div2", 16]]
AB858648_1_1432	S1	OP3Div2	97.2	95.1	[["USR", 467], ["OP3Div2", 16]]
AB858514_1_1438	S1	OP3Div2	97.2	95.0	[["USR", 467], ["OP3Div2", 16]]
KC117797_1_367	S1	OP3Div2	23.7	28.6	[["USR", 467], ["OP3Div2", 16]]
KC604592_1_839	S1	OP3Div2	57.2	55.3	[["USR", 467], ["OP3Div2", 16]]
HQ290486_1_855	S1	OP3Div2	62.9	60.8	[["USR", 467], ["OP3Div2", 16]]
JF747672_1_1553	S1	OP3Div2	96.0	94.5	[["USR", 467], ["OP3Div2", 16]]
FJ746262_1_1519	S1	OP3Div2	95.9	94.9	[["USR", 467], ["OP3Div2", 16]]
FJ746272_1_1519	S1	OP3Div2	95.9	94.9	[["USR", 467], ["OP3Div2", 16]]
FM174314_1_435	S1	OP3Div2	31.2	33.9	[["USR", 467], ["OP3Div2", 16]]
AB825098_1_373	S1	OP3Div2	23.8	29.1	[["USR", 467], ["OP3Div2", 16]]
LJUB01000141_4825_5540	S1	OP3Div2	51.6	45.2	[["USR", 467], ["OP3Div2", 16]]
X91444_1_358	S1	OP3Div2	24.0	27.9	[["USR", 467], ["OP3Div2", 16]]
KC604583_1_842	S1	OP3Div2	57.9	55.5	[["USR", 467], ["OP3Div2", 16]]
