#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	OTUComp
OTU20892	S1	OP3Div3	38.2	31.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU3212	S1	OP3Div3	38.8	31.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20963	S1	OP3Div3	36.6	29.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU104	S1	OP3Div3	36.4	28.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU3240	S1	OP3Div3	37.8	30.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU3288	S1	OP3Div3	37.4	28.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU3134	S1	OP3Div3	36.8	29.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU17010	S1	OP3Div3	37.3	31.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6747	S1	OP3Div3	35.8	28.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU21768	S1	OP3Div3	37.5	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU541	S1	OP3Div3	29.2	23.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18446	S1	OP3Div3	39.2	31.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU7927	S1	OP3Div3	37.2	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU1409	S1	OP3Div3	37.8	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU16508	S1	OP3Div3	37.7	32.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU943	S1	OP3Div3	38.5	32.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13775	S1	OP3Div3	29.3	25.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU696	S1	OP3Div3	38.2	30.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6875	S1	OP3Div3	37.9	30.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11681	S1	OP3Div3	38.2	29.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU12727	S1	OP3Div3	38.1	30.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18624	S1	OP3Div3	38.2	30.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14391	S1	OP3Div3	35.0	28.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20870	S1	OP3Div3	37.0	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14622	S1	OP3Div3	37.8	30.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU17161	S1	OP3Div3	37.9	29.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU7815	S1	OP3Div3	38.8	31.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14510	S1	OP3Div3	37.9	30.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU426	S1	OP3Div3	38.6	30.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU12391	S1	OP3Div3	37.5	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18170	S1	OP3Div3	32.0	27.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU15469	S1	OP3Div3	30.3	26.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13585	S1	OP3Div3	37.6	30.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU2607	S1	OP3Div3	38.9	30.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19379	S1	OP3Div3	37.7	28.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU5590	S1	OP3Div3	38.2	31.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU15465	S1	OP3Div3	38.2	30.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU2921	S1	OP3Div3	38.2	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
