#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	Hit	PID	QCov
OTU21220	S1	OP3Div2	39.4	31.4	FJ437903	97.6	100.0
OTU6943	S1	OP3Div3	37.8	30.1	DQ404728	97.0	100.0
OTU12574	S1	OP3Div3	20.1	12.0	AB248653	100.0	14.3
OTU9330	S1	OP3Div5	22.1	13.3	AJ224540	97.6	16.5
OTU8450	S1	OP3Div3	38.5	33.1	DQ404728	97.7	88.9
OTU14265	S1	OP3Div2	30.0	25.2	EU385790	99.0	100.0
OTU7713	S1	OP3Div3	20.9	12.6	AB248653	100.0	16.0
OTU10258	S1	OP3Div2	28.0	24.6	EU385743	97.4	100.0
OTU21465	S1	OP3Div2	39.4	31.9	EU386085	97.9	100.0
OTU5785	S1	OP3Div6	39.1	30.3	AY050598	98.4	100.0
OTU756	S1	OP3Div3	21.2	12.5	AB248653	100.0	15.5
OTU9116	S1	OP3Div5	23.2	14.2	AM991275	97.7	14.5
OTU5344	S1	OP3Div4	25.0	16.6	AB252431	100.0	13.6
OTU5920	S1	OP3Div2	39.9	32.3	EU385716	98.8	100.0
OTU4589	S1	OP3Div5	28.0	24.5	EU491309	99.3	36.8
OTU1264	S1	OP3Div5	28.0	24.3	FJ205385	97.8	35.5
OTU17369	S1	OP3Div5	28.0	24.5	EU491309	98.0	37.4
OTU20051	S1	OP3Div3	37.7	29.9	DQ404728	97.0	100.0
OTU22173	S1	OP3Div5	20.9	12.1	AY775535	100.0	16.0
OTU12209	S1	OP3Div5	29.6	25.3	EU491309	97.4	38.8
OTU3016	S1	OP3Div2	39.8	31.8	FJ437903	98.2	100.0
OTU3795	S1	OP3Div5	23.8	14.7	AY661975	97.8	15.0
OTU13876	S1	OP3Div5	28.0	24.5	EU491309	97.9	36.8
OTU16521	S1	OP3Div3	38.5	33.0	DQ404728	98.2	88.9
OTU16617	S1	OP3Div3	21.3	12.2	AB248653	100.0	13.9
