#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	Hit	PID	QCov
OTU12624	S1	OP3Div5	39.0	30.1	FJ205385	88.8	46.1
OTU6056	S1	OP3Div3	39.4	30.7	FJ437841	88.7	91.7
OTU13525	S1	OP3Div2	30.0	25.2	EU385956	90.1	100.0
OTU11196	S1	OP3Div5	39.6	31.1	AJ224540	92.4	46.8
OTU11685	S1	OP3Div5	30.1	25.4	FJ205385	88.8	50.9
OTU1734	S1	OP3Div2	30.7	26.2	AF419696	89.5	98.3
OTU21585	S1	OP3Div2	39.8	33.2	AY792313	88.1	100.0
OTU4904	S1	OP3Div1	36.7	29.6	EU134911	86.9	42.8
OTU21464	S1	OP3Div1	38.9	31.2	AB294345	86.7	45.2
OTU15174	S1	OP3Div3	38.6	32.1	AF407207	89.2	82.1
OTU4246	S1	OP3Div2	30.1	25.7	AY373410	86.2	99.8
OTU16535	S1	OP3Div5	40.0	31.3	FJ205385	90.1	42.1
OTU19942	S1	OP3Div2	39.3	32.3	EU385765	96.6	100.0
OTU3148	S1	OP3Div2	40.0	33.2	EU385956	89.7	99.6
OTU10072	S1	OP3Div3	39.3	31.0	FJ437841	86.3	100.0
OTU4509	S1	OP3Div5	32.4	27.3	EU800499	88.0	44.3
OTU6219	S1	OP3Div5	39.6	31.4	FJ205385	90.6	41.1
OTU2905	S1	OP3Div2	30.9	26.4	EU385743	88.3	50.3
OTU15884	S1	OP3Div2	32.0	27.1	EU386085	92.1	45.7
OTU6389	S1	OP3Div3	29.4	25.7	AB232814	91.1	36.7
OTU18041	S1	OP3Div3	37.4	29.4	DQ404728	87.9	95.3
OTU13588	S1	OP3Div2	40.3	32.2	AJ567574	87.5	100.0
OTU4768	S1	OP3Div2	39.5	32.8	EU522667	88.1	92.2
OTU11189	S1	OP3Div2	37.2	31.1	EF602487	91.3	41.3
OTU9177	S1	OP3Div2	39.8	33.2	AY792313	88.5	99.8
OTU11796	S1	OP3Div2	39.8	33.3	AY792313	86.6	99.8
OTU13165	S1	OP3Div2	39.4	32.8	AY013695	86.3	58.3
OTU19404	S1	OP3Div5	30.4	25.6	EU335171	84.9	47.3
OTU10635	S1	OP3Div5	39.2	32.8	EU236383	88.7	88.3
OTU6009	S1	OP3Div3	35.2	30.3	AF407207	89.1	73.2
OTU7265	S1	OP3Div3	38.9	30.0	AB232806	89.1	94.6
OTU16150	S1	OP3Div4	39.4	31.0	EF602488	83.8	39.8
OTU14601	S1	OP3Div5	39.6	32.8	AM162486	95.2	100.0
OTU18243	S1	OP3Div2	39.2	30.7	EU385720	86.3	75.1
OTU2999	S1	OP3Div5	39.6	31.4	EU236377	88.5	39.3
OTU5060	S1	OP3Div4	30.1	25.8	AM712351	91.0	32.0
OTU21220	S1	OP3Div2	39.4	31.4	FJ437903	97.6	100.0
OTU16613	S1	OP3Div2	32.3	27.3	EU385743	88.3	48.8
OTU3197	S1	OP3Div3	38.2	32.0	AF407207	85.8	83.4
OTU4936	S1	OP3Div1	38.0	29.3	EU385719	87.6	46.3
