#acc	otu	clone	num
AB294345	OP3Div1	AB294345	1
AB294931	OP3Div1	AB294931	1
AF524029	OP3Div1	AF524029	1
AJ390463	OP3Div1	AJ390463	1
AM902635	OP3Div1	AM902635	1
CR933082	OP3Div1	CR933082	1
DQ018787	OP3Div1	DQ018787	1
DQ070819	OP3Div1	DQ070819	1
DQ676379	OP3Div1	DQ676379	1
DQ676384	OP3Div1	DQ676384	1
EF032777	OP3Div1	EF032777	1
EU134906	OP3Div1	EU134906	1
EU134907	OP3Div1	EU134907	1
EU134911	OP3Div1	EU134911	1
EU373974	OP3Div1	EU373974	1
EU385719	OP3Div1	EU385719	1
EU385922	OP3Div1	EU385922	1
EU491266	OP3Div1	EU491266	1
EU801302	OP3Div1	EU801302	1
FJ205349	OP3Div1	FJ205349	1
FJ437883	OP3Div1	FJ437883	1
FJ516821	OP3Div1	FJ516821	1
AB015559	OP3Div2	AB015559	1
AF419696	OP3Div2	AF419696	1
AJ567573	OP3Div2	AJ567573	1
AJ567574	OP3Div2	AJ567574	1
AY013695	OP3Div2	AY013695	1
AY373410	OP3Div2	AY373410	1
AY532589	OP3Div2	AY532589	1
AY627570	OP3Div2	AY627570	1
AY792313	OP3Div2	AY792313	1
DQ676386	OP3Div2	DQ676386	1
EF602487	OP3Div2	EF602487	1
EU048672	OP3Div2	EU048672	1
EU134905	OP3Div2	EU134905	1
EU134909	OP3Div2	EU134909	1
EU385667	OP3Div2	EU385667	1
EU385716	OP3Div2	EU385716	1
EU385720	OP3Div2	EU385720	1
EU385743	OP3Div2	EU385743	1
EU385765	OP3Div2	EU385765	1
EU385777	OP3Div2	EU385777	1
EU385790	OP3Div2	EU385790	1
EU385956	OP3Div2	EU385956	1
EU386007	OP3Div2	EU386007	1
EU386033	OP3Div2	EU386033	1
EU386066	OP3Div2	EU386066	1
EU386085	OP3Div2	EU386085	1
EU522667	OP3Div2	EU522667	1
EU881347	OP3Div2	EU881347	1
EU937894	OP3Div2	EU937894	1
EU937932	OP3Div2	EU937932	1
FJ205236	OP3Div2	FJ205236	1
FJ437903	OP3Div2	FJ437903	1
AB232806	OP3Div3	AB232806	1
AB232814	OP3Div3	AB232814	1
AB232821	OP3Div3	AB232821	1
AB248652	OP3Div3	AB248652	1
AB248653	OP3Div3	AB248653	1
AB248654	OP3Div3	AB248654	1
AF407201	OP3Div3	AF407201	1
AF407207	OP3Div3	AF407207	1
AJ390471	OP3Div3	AJ390471	1
AY667264	OP3Div3	AY667264	1
DQ088765	OP3Div3	DQ088765	1
DQ404724	OP3Div3	DQ404724	1
DQ404728	OP3Div3	DQ404728	1
DQ837261	OP3Div3	DQ837261	1
FJ437841	OP3Div3	FJ437841	1
AB252431	OP3Div4	AB252431	1
AF027088	OP3Div4	AF027088	1
AM712351	OP3Div4	AM712351	1
AY344402	OP3Div4	AY344402	1
EF602488	OP3Div4	EF602488	1
EF687299	OP3Div4	EF687299	1
EU386021	OP3Div4	EU386021	1
AB015551	OP3Div5	AB015551	1
AF507707	OP3Div5	AF507707	1
AJ224540	OP3Div5	AJ224540	1
AM040127	OP3Div5	AM040127	1
AM162486	OP3Div5	AM162486	1
AM991240	OP3Div5	AM991240	1
AM991275	OP3Div5	AM991275	1
AY661975	OP3Div5	AY661975	1
AY775515	OP3Div5	AY775515	1
AY775535	OP3Div5	AY775535	1
DQ676311	OP3Div5	DQ676311	1
DQ676354	OP3Div5	DQ676354	1
EU050948	OP3Div5	EU050948	1
EU101222	OP3Div5	EU101222	1
EU101223	OP3Div5	EU101223	1
EU236377	OP3Div5	EU236377	1
EU236383	OP3Div5	EU236383	1
EU245967	OP3Div5	EU245967	1
EU335171	OP3Div5	EU335171	1
EU491104	OP3Div5	EU491104	1
EU491137	OP3Div5	EU491137	1
EU491175	OP3Div5	EU491175	1
EU491233	OP3Div5	EU491233	1
EU491235	OP3Div5	EU491235	1
EU491309	OP3Div5	EU491309	1
EU800499	OP3Div5	EU800499	1
FJ205385	OP3Div5	FJ205385	1
AY050598	OP3Div6	AY050598	1
