#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	Flag
OTU21220	S1	OP3Div2	39.4	31.4	FRAGMENT_LARGE
OTU6943	S1	OP3Div3	37.8	30.1	FRAGMENT_LARGE
OTU12574	S1	OP3Div3	20.1	12.0	FRAGMENT_SMALL
OTU9330	S1	OP3Div5	22.1	13.3	FRAGMENT_SMALL
OTU8450	S1	OP3Div3	38.5	33.1	FRAGMENT_LARGE
OTU14265	S1	OP3Div2	30.0	25.2	FRAGMENT_LARGE
OTU7713	S1	OP3Div3	20.9	12.6	FRAGMENT_SMALL
OTU10258	S1	OP3Div2	28.0	24.6	FRAGMENT_LARGE
OTU21465	S1	OP3Div2	39.4	31.9	FRAGMENT_LARGE
OTU5785	S1	OP3Div6	39.1	30.3	FRAGMENT_LARGE
OTU756	S1	OP3Div3	21.2	12.5	FRAGMENT_SMALL
OTU9116	S1	OP3Div5	23.2	14.2	FRAGMENT_SMALL
OTU5344	S1	OP3Div4	25.0	16.6	FRAGMENT_LARGE
OTU5920	S1	OP3Div2	39.9	32.3	FRAGMENT_LARGE
OTU4589	S1	OP3Div5	28.0	24.5	FRAGMENT_LARGE
OTU1264	S1	OP3Div5	28.0	24.3	FRAGMENT_LARGE
OTU17369	S1	OP3Div5	28.0	24.5	FRAGMENT_LARGE
OTU20051	S1	OP3Div3	37.7	29.9	FRAGMENT_LARGE
OTU22173	S1	OP3Div5	20.9	12.1	FRAGMENT_SMALL
OTU12209	S1	OP3Div5	29.6	25.3	FRAGMENT_LARGE
OTU3016	S1	OP3Div2	39.8	31.8	FRAGMENT_LARGE
OTU3795	S1	OP3Div5	23.8	14.7	FRAGMENT_SMALL
OTU13876	S1	OP3Div5	28.0	24.5	FRAGMENT_LARGE
OTU16521	S1	OP3Div3	38.5	33.0	FRAGMENT_LARGE
OTU16617	S1	OP3Div3	21.3	12.2	FRAGMENT_SMALL
OTU20892	S1	OP3Div3	38.2	31.1	FRAGMENT_LARGE
OTU3212	S1	OP3Div3	38.8	31.4	FRAGMENT_LARGE
OTU20963	S1	OP3Div3	36.6	29.2	FRAGMENT_LARGE
OTU104	S1	OP3Div3	36.4	28.6	FRAGMENT_LARGE
OTU3240	S1	OP3Div3	37.8	30.1	FRAGMENT_LARGE
OTU3288	S1	OP3Div3	37.4	28.9	FRAGMENT_LARGE
OTU3134	S1	OP3Div3	36.8	29.4	FRAGMENT_LARGE
OTU17010	S1	OP3Div3	37.3	31.2	FRAGMENT_LARGE
OTU6747	S1	OP3Div3	35.8	28.4	FRAGMENT_LARGE
OTU21768	S1	OP3Div3	37.5	29.6	FRAGMENT_LARGE
OTU541	S1	OP3Div3	29.2	23.9	FRAGMENT_LARGE
OTU18446	S1	OP3Div3	39.2	31.9	FRAGMENT_LARGE
OTU7927	S1	OP3Div3	37.2	29.6	FRAGMENT_LARGE
OTU1409	S1	OP3Div3	37.8	30.3	FRAGMENT_LARGE
OTU16508	S1	OP3Div3	37.7	32.2	FRAGMENT_LARGE
OTU943	S1	OP3Div3	38.5	32.1	FRAGMENT_LARGE
OTU13775	S1	OP3Div3	29.3	25.4	FRAGMENT_LARGE
OTU696	S1	OP3Div3	38.2	30.4	FRAGMENT_LARGE
